Year ,Month,Number ,Rate Per 1000
2009,Janurary,123000,4.8
2009,Feburary,127000,5.4
2009,March,146000,5.6
2009,April,163000,6.5
2009,May,179000,6.9
2009,June,217000,8.6
2009,July,217000,8.3
2009,August,212000,8.1
2009,September,205000,8.1
2009,October,196000,7.5
2009,November,153000,6.1
2009,December,138000,5.3
2008,Janurary,107000,4.2
2008,Feburary,138000,5.7
2008,March,147000,5.7
2008,April,163000,6.5
2008,May,211000,8.2
2008,June,239000,9.6
2008,July,213000,8.3
2008,August,251000,9.7
2008,September,198000,7.9
2008,October,206000,8
2008,November,145000,5.8
2008,December,140000,5.4
2007,Janurary,115000,4.5
2007,Feburary,136000,5.9
2007,March,161000,6.3
2007,April,170000,6.8
2007,May,203000,7.9
2007,June,242000,9.8
2007,July,252000,9.8
2007,August,218000,8.5
2007,September,214000,8.6
2007,October,193000,7.5
2007,November,146000,5.9
2007,December,145000,5.6
2006,Janurary,122000,4.9
2006,Feburary,134000,5.9
2006,March,153000,6.1
2006,April,158000,6.5
2006,May,196000,7.8
2006,June,218000,9
2006,July,228000,9.1
2006,August,229000,9.2
2006,September,208000,8.6
2006,October,199000,7.9
2006,November,168000,6.9
2006,December,150000,6
2005,Janurary,119000,4.7
2005,Feburary,141000,6.2
2005,March,154000,6.1
2005,April,180000,7.4
2005,May,211000,8.4
2005,June,241000,9.9
2005,July,246000,9.8
2005,August,226000,9
2005,September,218000,8.9
2005,October,210000,8.3
2005,November,149000,6.1
2005,December,153000,6
2004,Janurary,123000,5
2004,Feburary,151000,6.5
2004,March,159000,6.4
2004,April,174000,7.2
2004,May,224000,9
2004,June,243000,10.1
2004,July,246000,9.9
2004,August,226000,9.1
2004,September,214000,8.9
2004,October,212000,8.5
2004,November,153000,6.3
2004,December,155000,6.2
2003,Janurary,141000,5.7
2003,Feburary,146000,6.6
2003,March,150000,6.1
2003,April,168000,7
2003,May,179000,7.2
2003,June,229000,9.6
2003,July,221000,8.9
2003,August,215000,8.7
2003,September,217000,9
2003,October,207000,8.4
2003,November,156000,6.5
2003,December,158000,6.3
2002,Janurary,113000,4.6
2002,Feburary,152000,6.9
2002,March,156000,6.4
2002,April,172000,7.3
2002,May,211000,8.6
2002,June,227000,9.6
2002,July,237000,9.7
2002,August,235000,9.6
2002,September,216000,9.1
2002,October,214000,8.7
2002,November,157000,6.6
2002,December,165000,6.7
2001,Janurary,143000,6
2001,Feburary,141000,6.5
2001,March,170000,7.1
2001,April,208000,8.9
2001,May,214000,8.9
2001,June,229000,9.8
2001,July,235000,9.7
2001,August,235000,9.7
2001,September,221000,9.4
2001,October,226000,9.3
2001,November,168000,7.2
2001,December,155000,6.4
2000,Janurary,147000,6.3
2000,Feburary,159000,7.3
2000,March,166000,7.1
2000,April,166000,7.4
2000,May,189000,8.1
2000,June,237000,10.5
2000,July,235000,10.1
2000,August,244000,10.4
2000,September,225000,10
2000,October,217000,9.3
2000,November,191000,8.4
2000,December,152000,6.5
