family,order,seasonal_order,aic
SARIMA,"(2, 0, 2)","(1, 0, 1, 12)",167.47194914800687
SARIMA,"(2, 1, 2)","(1, 1, 1, 12)",167.9071851952317
SARIMA,"(2, 1, 2)","(0, 1, 1, 12)",171.63959434673572
SARIMA,"(2, 1, 2)","(0, 0, 1, 12)",179.9451710291506
SARIMA,"(2, 1, 2)","(1, 0, 1, 12)",181.89718712731434
SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",190.31537672986016
SARIMA,"(2, 1, 2)","(1, 0, 0, 12)",194.33346311386407
SARIMA,"(2, 0, 1)","(1, 1, 1, 12)",194.90896502025285
SARIMA,"(2, 0, 2)","(0, 1, 1, 12)",195.74544102369487
SARIMA,"(2, 1, 2)","(1, 1, 0, 12)",196.8668990761834
SARIMA,"(2, 0, 1)","(0, 1, 1, 12)",201.2357790129599
SARIMA,"(2, 0, 2)","(1, 1, 0, 12)",204.71670743770545
SARIMA,"(2, 0, 1)","(1, 0, 1, 12)",206.90365029675817
SARIMA,"(2, 0, 1)","(1, 1, 0, 12)",209.11865223501363
SARIMA,"(2, 1, 1)","(0, 1, 1, 12)",209.16379073653823
ARIMA,"(2, 0, 2)",,209.77001015921027
SARIMA,"(2, 0, 0)","(1, 1, 1, 12)",209.86956209527665
SARIMA,"(2, 1, 1)","(1, 1, 1, 12)",211.34819273099723
SARIMA,"(2, 0, 0)","(0, 1, 1, 12)",213.888546101515
SARIMA,"(2, 0, 2)","(1, 0, 0, 12)",214.3734965952906
ARIMA,"(2, 1, 2)",,217.1299300370466
SARIMA,"(2, 1, 2)","(0, 0, 0, 12)",221.67495644706645
SARIMA,"(1, 0, 1)","(0, 1, 1, 12)",223.6622887984765
SARIMA,"(0, 0, 2)","(0, 1, 1, 12)",224.0128660174704
SARIMA,"(0, 0, 2)","(1, 1, 1, 12)",225.00827083351405
SARIMA,"(1, 0, 1)","(1, 1, 1, 12)",225.72342101107293
SARIMA,"(0, 1, 2)","(0, 1, 1, 12)",227.68360401829312
SARIMA,"(1, 1, 2)","(0, 1, 1, 12)",229.50136344654265
SARIMA,"(2, 0, 0)","(1, 1, 0, 12)",230.5036855377701
SARIMA,"(0, 1, 2)","(1, 1, 1, 12)",230.66066048613382
SARIMA,"(0, 1, 1)","(0, 1, 1, 12)",230.76980433611536
SARIMA,"(1, 1, 1)","(0, 1, 1, 12)",231.318917993645
SARIMA,"(1, 1, 0)","(0, 1, 1, 12)",231.76006969264836
SARIMA,"(1, 1, 2)","(1, 1, 1, 12)",231.94245558429145
SARIMA,"(2, 1, 1)","(1, 1, 0, 12)",233.242197185191
SARIMA,"(2, 1, 0)","(0, 1, 1, 12)",233.34794318243664
SARIMA,"(2, 1, 0)","(1, 1, 1, 12)",233.59393737553373
SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",233.60882031343803
SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",233.75596702509455
SARIMA,"(1, 1, 0)","(1, 1, 1, 12)",234.07211419930582
SARIMA,"(1, 1, 2)","(0, 0, 1, 12)",234.29489034190635
SARIMA,"(2, 1, 1)","(0, 0, 1, 12)",235.7917609424404
SARIMA,"(1, 1, 2)","(1, 0, 1, 12)",236.19933784481628
SARIMA,"(1, 0, 0)","(0, 1, 1, 12)",236.754093136604
SARIMA,"(2, 0, 0)","(1, 0, 1, 12)",237.31955018630782
SARIMA,"(2, 1, 1)","(1, 0, 1, 12)",237.54546186002665
SARIMA,"(2, 0, 2)","(0, 0, 1, 12)",238.1365875055093
SARIMA,"(1, 0, 0)","(1, 1, 1, 12)",239.4924659849505
SARIMA,"(0, 1, 2)","(0, 0, 1, 12)",239.61539083505275
SARIMA,"(2, 1, 1)","(1, 0, 0, 12)",239.71762705351267
SARIMA,"(0, 1, 0)","(0, 1, 1, 12)",239.9527260891771
SARIMA,"(1, 1, 2)","(1, 0, 0, 12)",239.96233562556833
SARIMA,"(0, 1, 0)","(1, 1, 1, 12)",241.00063137837753
SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",241.01555429963778
SARIMA,"(0, 1, 2)","(1, 0, 1, 12)",241.3742935658858
SARIMA,"(1, 0, 2)","(1, 0, 1, 12)",244.07163786126583
SARIMA,"(2, 1, 0)","(1, 0, 0, 12)",244.34766365864823
SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",244.54892519216423
SARIMA,"(2, 0, 1)","(0, 0, 1, 12)",244.5665857047237
SARIMA,"(1, 1, 1)","(0, 0, 1, 12)",245.03825467908732
SARIMA,"(1, 1, 0)","(1, 0, 0, 12)",245.12462517435992
SARIMA,"(1, 1, 0)","(0, 0, 1, 12)",245.19121363713754
SARIMA,"(1, 0, 1)","(1, 1, 0, 12)",245.3402036446996
SARIMA,"(0, 0, 1)","(0, 1, 1, 12)",245.3437472849682
SARIMA,"(1, 0, 2)","(1, 1, 1, 12)",245.59841977644174
SARIMA,"(2, 1, 0)","(0, 0, 1, 12)",246.30302995197403
SARIMA,"(2, 1, 0)","(1, 0, 1, 12)",246.32645397127033
SARIMA,"(0, 1, 2)","(1, 0, 0, 12)",246.35859948348522
SARIMA,"(0, 1, 1)","(1, 0, 1, 12)",246.50364838974662
ARIMA,"(2, 0, 1)",,246.60606601390262
SARIMA,"(0, 0, 1)","(1, 1, 1, 12)",246.62949414680253
SARIMA,"(1, 1, 1)","(1, 0, 1, 12)",246.9594192659401
SARIMA,"(1, 1, 1)","(1, 0, 0, 12)",246.96471115631266
SARIMA,"(1, 1, 0)","(1, 0, 1, 12)",247.1122870061974
SARIMA,"(1, 0, 1)","(0, 0, 1, 12)",247.15623969612614
SARIMA,"(1, 1, 2)","(1, 1, 0, 12)",247.31139302682746
SARIMA,"(1, 0, 2)","(1, 0, 0, 12)",247.31151436188432
SARIMA,"(0, 1, 0)","(0, 0, 1, 12)",247.94872988276796
SARIMA,"(2, 0, 0)","(0, 0, 1, 12)",248.68099414994126
SARIMA,"(0, 0, 2)","(1, 1, 0, 12)",248.83864762077542
SARIMA,"(1, 0, 1)","(1, 0, 1, 12)",249.059650162129
SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",249.13066737120195
SARIMA,"(2, 0, 1)","(1, 0, 0, 12)",249.33248443312948
SARIMA,"(1, 0, 2)","(0, 0, 1, 12)",249.62409618765636
SARIMA,"(0, 1, 0)","(1, 0, 1, 12)",249.94330347202765
SARIMA,"(1, 0, 1)","(1, 0, 0, 12)",250.05485464240024
SARIMA,"(2, 1, 2)","(0, 1, 0, 12)",250.20670666413213
SARIMA,"(0, 1, 0)","(1, 0, 0, 12)",251.43955125421724
SARIMA,"(1, 0, 0)","(0, 0, 1, 12)",251.63975393238795
SARIMA,"(2, 0, 2)","(0, 1, 0, 12)",251.93333601610072
SARIMA,"(1, 0, 0)","(1, 1, 0, 12)",252.1827938168158
SARIMA,"(1, 0, 0)","(1, 0, 0, 12)",252.41755241638643
SARIMA,"(1, 0, 0)","(1, 0, 1, 12)",253.63734323289373
SARIMA,"(2, 1, 0)","(1, 1, 0, 12)",254.30284726173545
SARIMA,"(1, 1, 0)","(1, 1, 0, 12)",254.7798693275361
SARIMA,"(1, 1, 1)","(1, 1, 0, 12)",256.779720076955
SARIMA,"(2, 0, 1)","(0, 1, 0, 12)",258.25172282877884
SARIMA,"(0, 1, 1)","(1, 1, 0, 12)",258.3735684055267
SARIMA,"(0, 1, 2)","(1, 1, 0, 12)",259.4275931260402
SARIMA,"(0, 1, 0)","(1, 1, 0, 12)",261.36195753713935
SARIMA,"(0, 0, 1)","(1, 1, 0, 12)",261.66547228342995
ARIMA,"(2, 0, 0)",,262.27154372798395
SARIMA,"(1, 0, 2)","(1, 1, 0, 12)",262.4195468440333
SARIMA,"(1, 1, 2)","(0, 0, 0, 12)",266.60505489174653
ARIMA,"(1, 0, 2)",,266.7849252637359
SARIMA,"(2, 0, 0)","(1, 0, 0, 12)",268.44946620304813
SARIMA,"(2, 0, 2)","(0, 0, 0, 12)",270.03957707447563
SARIMA,"(0, 1, 2)","(0, 0, 0, 12)",270.3163968341339
ARIMA,"(0, 0, 2)",,271.9408972568657
SARIMA,"(2, 0, 0)","(0, 1, 0, 12)",273.5390189852265
ARIMA,"(1, 0, 1)",,274.30003949206275
SARIMA,"(0, 0, 1)","(1, 0, 1, 12)",274.90504590773725
SARIMA,"(2, 1, 1)","(0, 0, 0, 12)",275.21463187962775
SARIMA,"(2, 1, 1)","(0, 1, 0, 12)",276.27291212302583
SARIMA,"(0, 0, 2)","(0, 1, 0, 12)",277.1154150749059
SARIMA,"(1, 0, 2)","(0, 1, 0, 12)",277.77486266890975
SARIMA,"(1, 1, 2)","(0, 1, 0, 12)",277.84817990557144
ARIMA,"(2, 1, 1)",,278.0200162429973
SARIMA,"(1, 0, 2)","(0, 0, 0, 12)",278.8031554144691
SARIMA,"(1, 0, 1)","(0, 1, 0, 12)",279.79494644361534
SARIMA,"(2, 1, 0)","(0, 0, 0, 12)",279.85998692142243
SARIMA,"(0, 1, 1)","(0, 0, 0, 12)",280.33418176407054
SARIMA,"(1, 1, 1)","(0, 0, 0, 12)",280.4605976597797
SARIMA,"(1, 1, 0)","(0, 0, 0, 12)",280.9548764970594
ARIMA,"(0, 1, 2)",,281.5121428025768
SARIMA,"(2, 0, 0)","(0, 0, 0, 12)",282.0185595125499
ARIMA,"(2, 2, 2)",,282.03352577855077
ARIMA,"(1, 0, 0)",,282.0582718847166
ARIMA,"(1, 1, 0)",,282.93097273738
ARIMA,"(1, 1, 2)",,283.1166362504642
SARIMA,"(2, 0, 1)","(0, 0, 0, 12)",283.6094488239633
SARIMA,"(1, 0, 1)","(0, 0, 0, 12)",283.9255957169708
ARIMA,"(2, 1, 0)",,284.0559977861306
ARIMA,"(0, 1, 1)",,284.5905612786202
ARIMA,"(1, 1, 1)",,284.67087493920286
SARIMA,"(0, 1, 0)","(0, 0, 0, 12)",285.77512434808136
ARIMA,"(0, 1, 0)",,287.751480280723
ARIMA,"(2, 2, 1)",,288.0022475362846
